Date Mailed,Date reported recieved,lat,lon,City,State,Zipcode ,Country,GlobalRegion,Distance From SF,USPS Sectional Center,State_2,SC_lat,SC_lon,Notes,Date Return Env Sent,Date Return Env Arrives,StickerChoice
8/15/2020,8/18/2020,42.9134,-85.7053,Wyoming,MI,49519,US,NorthAmerica,1950,Grand Rapids,MI,42.9632405,-85.6678639,,,,Boxes
8/15/2020,8/29/2020,35.994,-78.8986,Durham,NC,27705,US,NorthAmerica,2386,Raleigh,NC,35.9054651,-78.7492316,,,,Surprise Me
8/15/2020,8/24/2020,35.994,-78.8986,"Guelph, Ontario",Canada,90210,Canada,NorthAmerica,2221,,,,,,,,Blue Floral
8/15/2020,9/2/2020,48.4284,-123.3656,"Victoria, BC",Canada,11111,Canada,NorthAmerica,737,,,,,,,,Blue Floral
8/15/2020,8/18/2020,40.4406,-79.9959,PITTSBURGH,PA,15236,US,NorthAmerica,2260,Pittsburgh,PA,40.4579648,-80.0196764,,,,Surprise Me
8/15/2020,8/18/2020,29.4241,-98.4936,San Antonio,TX,78255,US,NorthAmerica,1487,San Antonio,TX,29.533415,-98.4091001,,,,Boxes
8/15/2020,8/19/2020,33.4484,-112.074,Phoenix,AZ,85013,US,NorthAmerica,653,Phoenix,AZ,33.4484367,-112.0741417,,,,Surprise Me
8/15/2020,8/28/2020,33.4353,-112.3577,Goodyear,AZ,85338,US,NorthAmerica,639,Phoenix,AZ,33.4484367,-112.0741417,,,,Boxes
8/15/2020,8/17/2020,37.9735,-122.5311,San Rafael,CA,94903,US,NorthAmerica,15,San Francisco,CA,37.7790262,-122.4199061,,,,Surprise Me
8/15/2020,8/18/2020,37.7749,-122.4194,San Francisco,CA,94117,US,NorthAmerica,3,San Francisco,CA,37.7790262,-122.4199061,,,,Red Floral
8/15/2020,8/19/2020,33.4484,-112.074,Phoenix,AZ,85019,US,NorthAmerica,653,Phoenix,AZ,33.4484367,-112.0741417,,,,Blue Floral
8/15/2020,8/31/2020,43.6532,-79.3832,"Toronto, Ontario",Canada,12345,Canada,NorthAmerica,2264,,,,,,,,Surprise Me
8/24/2020,8/26/2020,37.7749,-122.4194,San Francisco ,CA,94131,US,NorthAmerica,3,San Francisco,CA,37.7790262,-122.4199061,,11/30/2020,10/05/2020,Surprise Me
8/24/2020,8/26/2020,37.7749,-122.4194,San Francisco,CA,94131,US,NorthAmerica,3,San Francisco,CA,37.7790262,-122.4199061,,,,Boxes
8/24/2020,8/25/2020,37.7749,-122.4194,San Francisco,CA,94114,US,NorthAmerica,3,San Francisco,CA,37.7790262,-122.4199061,,,,Boxes
8/24/2020,8/27/2020,39.9526,-75.1652,Philadelphia ,PA,19130,US,NorthAmerica,2516,Philadelphia,PA,39.904805,-75.23723,,,,Blue Floral
8/24/2020,9/2/2020,38.8816,-77.091,Arlington ,VA,22207,US,NorthAmerica,2433,Northern,VA,38.873644,-77.2355603,,,,Boxes
8/24/2020,8/28/2020,25.7617,-80.1918,Miami,FL,33186,US,NorthAmerica,2590,Miami,FL,25.7742658,-80.1936589,,,,Boxes
8/24/2020,8/26/2020,37.7799,-122.2822,Alameda,CA,94501,US,NorthAmerica,10,Oakland,CA,37.806449,-122.299967,,,,Blue Floral
8/24/2020,9/22/2020,-33.628,151.148,Berowra,NSW Australia,2081,Australia,EastAsia,8162,,,,,,,,Boxes
8/24/2020,8/27/2020,41.5895,-88.0578,Lockport,IL,60441,US,NorthAmerica,1834,South Suburban,IL,41.759049,-87.800137,,,,Surprise Me
8/24/2020,,33.0198,-96.6989,Plano,TX,75074,US,NorthAmerica,1481,North Texas,TX,32.9550579,-97.0223733,,,,Boxes
08/31/2020,9/3/2020,45.4157,-122.7163,Lake Oswego,OR,97034,US,NorthAmerica,528,Portland,OR,45.5745309,-122.5932357,,09/14/2020,09/17/2020,Surprise Me
08/31/2020,9/3/2020,42.2335,-72.8796,Huntington,MA,01050,US,NorthAmerica,2602,Hartford,CT,41.789872,-72.661822,,09/08/2020,09/12/2020,Surprise Me
08/31/2020,9/2/2020,33.985,-118.4695,Venice,CA,90291,US,NorthAmerica,343,Los Angeles,CA,33.9792191,-118.256447,,09/04/2020,09/08/2020,Surprise Me
08/31/2020,9/3/2020,33.3528,-111.789,Gilbert,AZ,85233,US,NorthAmerica,671,Phoenix,AZ,33.4484367,-112.0741417,,09/05/2020,09/08/2020,Surprise Me
08/31/2020,9/3/2020,40.3916,-111.8508,Lehi,UT,84043,US,NorthAmerica,594,Salt Lake City,UT,40.7596198,-111.8867975,,,,Red Floral
08/31/2020,9/3/2020,42.4584,-71.0662,Melrose,MA,02176,US,NorthAmerica,2691,Boston,MA,42.3508036,-71.0536732,,,,Blue Floral
08/31/2020,9/4/2020,42.0145,-86.5195,Stevensville,MI,49127,US,NorthAmerica,1911,Grand Rapids,MI,42.9632405,-85.6678639,,09/08/2020,09/12/2020,Surprise Me
08/31/2020,9/3/2020,38.627,-90.1994,St. Louis,MO,63130,US,NorthAmerica,1741,St. Louis,MO,38.6289041,-90.2052258,,09/04/2020,09/08/2020,Surprise Me
08/31/2020,9/3/2020,41.3984,-81.8046,Brook Park,OH,44142,US,NorthAmerica,2156,Cleveland,OH,41.5051613,-81.6934446,,09/04/2020,09/08/2020,Blue Floral
08/31/2020,9/3/2020,30.2672,-97.7431,Austin,TX,78703,US,NorthAmerica,1499,Austin,TX,30.334243,-97.6668293,,,,Surprise Me
08/31/2020,9/4/2020,42.3601,-71.0589,Boston,MA,02215,US,NorthAmerica,2692,Boston,MA,42.3508036,-71.0536732,,,,Boxes
08/31/2020,9/3/2020,32.2226,-110.9747,Tucson,AZ,85719,US,NorthAmerica,752,Tucson,AZ,32.2228765,-110.9748477,,09/05/2020,09/08/2020,Blue Floral
08/31/2020,9/2/2020,37.8715,-122.273,Berkeley,CA,94709,US,NorthAmerica,10,Oakland,CA,37.806449,-122.299967,,09/04/2020,09/08/2020,Boxes
08/31/2020,9/8/2020,25.7617,-80.1918,Miami,FL,33133,US,NorthAmerica,2590,Miami,FL,25.7742658,-80.1936589,,,,Surprise Me
09/12/2020,9/21/2020,49.8728,8.6512,Darmstadt,Germany,64293,Germany,Europe,5687,,,,,,,,Blue Floral
09/04/2020,9/9/2020,36.988,-121.9566,Soquel,CA,95073,US,NorthAmerica,60,San Jose,CA,37.3895163,-121.8877285,,09/26/2020,09/28/2020,Surprise Me
09/04/2020,9/8/2020,33.4152,-111.8315,Mesa,AZ,85201,US,NorthAmerica,666,Phoenix,AZ,33.4484367,-112.0741417,,09/08/2020,09/12/2020,Blue Floral
09/04/2020,9/8/2020,34.0522,-118.2437,Los Angeles,CA,91343,US,NorthAmerica,347,Santa Clarita,CA,34.427245,-118.637359,,,,Blue Floral
09/04/2020,9/8/2020,41.1537,-81.3579,Kent,OH,44240,US,NorthAmerica,2182,Akron,OH,41.083064,-81.518485,,9/8/2020,09/14/2020,Boxes
