dateRequested,dateMailed,dateArrived,dateReplySent,dateReplyArrived,city,state,zipcode,country,region,ziplat,ziplon,distanceFromSF,uspsCenter,uspsCenterState,uspsCenterLat,uspsCenterLon,stickerChoice,lat,lon
2020-08-08 19:23:26,2020-08-15 00:00:00,2020-08-18 00:00:00,,,Wyoming,MI,49519,US,NorthAmerica,42.895737,-85.718265,1950,Grand Rapids,MI,42.9632405,-85.6678639,Boxes,42.9134,-85.7053
2020-08-08 19:31:15,2020-08-15 00:00:00,2020-08-29 00:00:00,,,Durham,NC,27705,US,NorthAmerica,36.022136,-78.975659,2386,Raleigh,NC,35.9054651,-78.7492316,Surprise Me,35.9940,-78.8986
2020-08-08 19:40:02,2020-08-15 00:00:00,2020-08-24 00:00:00,,,"Guelph, Ontario",Canada,90210,Canada,NorthAmerica,0,0,2221,,,,,Blue Floral,43.5448,-80.2482
2020-08-09 03:27:40,2020-08-15 00:00:00,,,,Philadelphia,PA,19147,US,NorthAmerica,39.935327,-75.152489,2516,Philadelphia,PA,39.904805,-75.23723,Boxes,39.9526,-75.1652
2020-08-09 13:49:18,2020-08-15 00:00:00,2020-09-02 00:00:00,,,"Victoria, BC",Canada,11111,Canada,NorthAmerica,0,0,737,,,,,Blue Floral,48.4284,-123.3656
2020-08-11 17:56:22,2020-08-15 00:00:00,2020-08-18 00:00:00,,,Pittsburgh,PA,15236,US,NorthAmerica,40.347404,-79.975481,2260,Pittsburgh,PA,40.4579648,-80.0196764,Surprise Me,40.4406,-79.9959
2020-08-13 06:27:58,2020-08-15 00:00:00,2020-08-18 00:00:00,,,San Antonio,TX,78255,US,NorthAmerica,29.651922,-98.656362,1487,San Antonio,TX,29.533415,-98.4091001,Boxes,29.4241,-98.4936
2020-08-13 08:12:50,2020-08-15 00:00:00,2020-08-19 00:00:00,,,Phoenix,AZ,85013,US,NorthAmerica,33.511087,-112.084749,653,Phoenix,AZ,33.4484367,-112.0741417,Surprise Me,33.4484,-112.0740
2020-08-13 12:15:46,2020-08-15 00:00:00,2020-08-28 00:00:00,,,Goodyear,AZ,85338,US,NorthAmerica,33.372975,-112.410829,639,Phoenix,AZ,33.4484367,-112.0741417,Boxes,33.4353,-112.3577
2020-08-13 16:16:24,2020-08-15 00:00:00,2020-08-17 00:00:00,,,San Rafael,CA,94903,US,NorthAmerica,38.022366,-122.555605,15,San Francisco,CA,37.7790262,-122.4199061,Surprise Me,37.9735,-122.5311
2020-08-13 16:29:58,2020-08-15 00:00:00,2020-08-18 00:00:00,,,San Francisco,CA,94117,US,NorthAmerica,37.769436,-122.447662,3,San Francisco,CA,37.7790262,-122.4199061,Red Floral,37.7749,-122.4194
2020-08-13 18:41:25,2020-08-15 00:00:00,2020-08-19 00:00:00,,,Phoenix,AZ,85019,US,NorthAmerica,33.508879,-112.144514,653,Phoenix,AZ,33.4484367,-112.0741417,Blue Floral,33.4484,-112.0740
2020-08-14 03:42:57,2020-08-15 00:00:00,2020-08-31 00:00:00,,,"Toronto, Ontario",Canada,12345,Canada,NorthAmerica,0,0,2264,,,,,Surprise Me,43.6532,-79.3832
2020-08-15 17:53:06,2020-08-24 00:00:00,2020-08-26 00:00:00,,,San Francisco ,CA,94131,US,NorthAmerica,37.745916,-122.441472,3,San Francisco,CA,37.7790262,-122.4199061,Surprise Me,37.7749,-122.4194
2020-08-15 18:11:37,2020-08-24 00:00:00,2020-08-26 00:00:00,,,San Francisco,CA,94131,US,NorthAmerica,37.745916,-122.441472,3,San Francisco,CA,37.7790262,-122.4199061,Boxes,37.7749,-122.4194
2020-08-15 18:13:44,2020-08-24 00:00:00,2020-08-25 00:00:00,,,San Francisco,CA,94114,US,NorthAmerica,37.758057,-122.43541,3,San Francisco,CA,37.7790262,-122.4199061,Boxes,37.7749,-122.4194
2020-08-18 19:18:47,2020-08-24 00:00:00,2020-08-27 00:00:00,,,Philadelphia ,PA,19130,US,NorthAmerica,39.967935,-75.176073,2516,Philadelphia,PA,39.904805,-75.23723,Blue Floral,39.9526,-75.1652
