NAME,ORIGIN,SOURCE,RGB,HEX
Blue,Japan,San Francisco,R:29 G:102 B:157,#1D669D
Inchiostro blu,Italy,Venice,R: 50 G:79 B:107,#324F6B
Brown,Italy,San Francisco,R:86 G:67 B:63,#56433F
Green,France,San Francisco,R:36 G:90 B:64,#245A40
Bright Green,England,San Francisco,R:143 G:188 B:143,#8FBC8F
Violet,England,San Francisco,R:116 G:78 B:127,#744E7F
Verde green,England,San Francisco,R:162 G:169 B:66,#A2A942
Teal,France,San Francisco,R:7 G:102 B:122,#07667A
Aqua blue,Italy,San Francisco,R:19 G:78 B:112,#134E70
Navy blue,Italy,San Francisco,R:23 G:37 B:108,#17256C
Purple,Italy,San Francisco,R:93 G:62 B:103,#5D3E67
Red,Italy,San Francisco,R:155 G:81 B:94,#9B515E
Avocado,US,Santa Fe,R:35 G:72 B:28,#23481C
Rust Red,US,Santa Fe,R:103 G:46 B:52,#672E34
Ballpoint Blue,US,San Francisco,R:25 G:25 B:112,#191970
Saphir Blue,France,San Francisco,R:45 G:55 B:127,#2D377F
Gris Nuage,France,San Francisco,R:128 G:128 B:128,#808080
Poussiere de Lune,France,San Francisco,R:117 G:79 B:120,#754F78
Rose Tendresse,France,San Francisco,R:238 G:130 B:38,#EE82EE
Orange Indien,France,Paris,R:255 G:140 B:0,#FF8C00
Fog Grey,Germany,Paris,R:75 G:88 B:124,#4B587C
Oak Gall Black,Italy,Paris,R:0 G:0 B:0,#222222
Light Indigo,Italy,Paris,R:179 G:191 B:202,#B3BFCA
Teal with Shimmer,France,Paris,R:46 G:136 B:163,#2E88A3
Black with Gold,France,Paris,R:1 G:1 B:1,#111111
Midnight Blue,France,Paris,R:44 G:82 B:120,#2C5278
Teal blue,France,Paris,R:0 G:128 B:128,#008080
Terre brown,France,Paris,R:114 G:95 B:91,#725F5B
Burnt yellow,France,Paris,R:215 G:183 B:0,#D7B75B
Beach grey,France,Paris,R:105 G:105 B:105,#696969
