DATE,FILE,COLORS,HEX
2017-10-01,inktober100117_3.jpg,Brush blue,#1D669D
2017-10-02,inktober100217_1.jpg,Venice blue,#324F6B
2017-10-03,Inktober100317.jpg,Venice blue,#324F6B
2017-10-04,inktober100417.jpg,Venice blue,#324F6B
2017-10-05,inktober100517_2.jpg,"Venice blue,Sepia brown,Green,PurpleLilac,Yellow-grn","#324F6B,#56433F,#245A40,#744E7F,#A2A942"
2017-10-06,Inktober100617_2.jpg,"Venice blue,sepia brown,Green,Teal","#324F6B,#56433F,#245A40,#07667A"
2017-10-07,inktober100717_0.jpg,Teal,#07667A
2017-10-08,Inktober100817_3.jpg,Venice blue,#324F6B
2017-10-09,inktober100917_1.jpg,Teal,#07667A
2017-10-10,inktober101017_1.jpg,Venice blue,#324F6B
2017-10-11,inktober101117_1.jpg,"Venice blue,Aqua blue","#324F6B,#134E70"
2017-10-12,inktober101217_1.jpg,"Teal,Yellowgrn","#07667A,#A2A942"
2017-10-13,inktober101317_1.jpg,"Aqua blue,Navy blue,Purple","#134E70,#17256C,#5D3E67"
2017-10-14,inktober101417_1.jpg,"Aqua blue,Navy blue,Sepia brown,Purple","#134E70,#17256C,#56433F,#5D3E67"
2017-10-15,Inktober101517_1.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-10-16,inktober101617_1.jpg,"Aqua blue,Navy blue,Purple,Sepia brown","#134E70,#17256C,#5D3E67,#56433F"
2017-10-17,inktober101717_1.jpg,Black,#000000
2017-10-18,inktober101817_1.jpg,"Navy blue,Sepia brown","#17256C,#56433F"
2017-10-19,inktober101917_1.jpg,black,#000000
2017-10-20,inktober102017_1.jpg,"Sepia brown,Aqua blue","#56433F,#134E70"
2017-10-21,inktober102117_1.jpg,"Sepia brown,Navy blue,Black,Purple,Green","#56433F,#17256C,#000000,#5D3E67,#245A40"
2017-10-22,inktober102217_1.jpg,Navy blue,#17256C
2017-10-23,inktober102317_3.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-10-24,inktober102417_1.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-10-25,Inktober102517_4.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-10-26,inktober102617_1.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-10-27,inktober102717_1.jpg,"Sepia brown,Navy blue,Green","#56433F,#17256C,#245A40"
2017-10-28,inktober102817_1.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-10-29,inktober102917_1.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-10-30,inktober103017_1.jpg,"Teal,Sepia brown","#07667A,#56433F"
2017-10-31,inktober103117_1.jpg,"Sepia brown,October red","#56433F,#9B515E"
2017-11-01,inkyDays110117.jpg,"Sepia brown,Aqua blue","#56433F,#134E70"
2017-11-02,inkyDays110217.jpg,"Sepia brown,Aqua blue","#56433F,#134E70"
2017-11-03,inkyDays110317.jpg,"Sepia brown,Aqua blue","#56433F,#134E70"
2017-11-04,inkyDays110417.jpg,Navy blue,#17256C
2017-11-05,inkyDays110517.jpg,"Sepia brown,Aqua blue,Navy blue","#56433F,#134E70,#17256C"
2017-11-06,inkyDays110617.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-11-07,inkyDays110717.jpg,"Sepia brown,Navy blue,Aqua blue","#56433F,#17256C,#134E70"
2017-11-08,inkyDays110817.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-11-09,inkyDays110917.jpg,Navy blue,#17256C
2017-11-10,inkyDays111017.jpg,"Sepia brown,Aqua blue","#56433F,#134E70"
2017-11-11,inkyDays111117.jpg,"Sepia brown,Aqua blue,Navy blue","#56433F,#134E70,#17256C"
2017-11-12,inkyDays111217.jpg,"Sepia brown,Aqua blue,Teal","#56433F,#134E70,#07667A"
2017-11-13,inkyDays111317.jpg,"Sepia brown,Aqua blue","#56433F,#134E70"
2017-11-14,inkyDays111417.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-11-15,inkyDays111517.jpg,"Sepia brown,Aqua blue","#56433F,#134E70"
2017-11-16,inkyDays111617.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-11-17,inkyDays111717.jpg,"Sepia brown,Aqua blue","#56433F,#134E70"
2017-11-18,inkyDays111817.jpg,Sepia brown,#56433F
2017-11-19,inkyDays111917.jpg,Sepia brown,#56433F
2017-11-20,inkyDays112017.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-11-21,inkyDays112117.jpg,"Sepia brown,Aqua blue","#56433F,#134E70"
2017-11-22,inkyDays112217.jpg,"Navy blue,Purple","#17256C,#5D3E67"
2017-11-23,inkyDays112317.jpg,"Navy blue,Purple","#17256C,#5D3E67"
2017-11-24,inkyDays112417.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-11-25,inkyDays112517.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-11-26,inkyDays112617.jpg,"Sepia brown,Aqua blue","#56433F,#134E70"
2017-11-27,inkyDays112717.jpg,Sepia brown,#56433F
2017-11-28,inkyDays112817.jpg,Sepia brown,#56433F
2017-11-29,inkyDays112917.jpg,"Sepia brown,Navy blue,Aqua blue","#56433F,#17256C,#134E70"
2017-11-30,inkyDays113017.jpg,"Sepia brown,Aqua blue","#56433F,#134E70"
2017-12-01,inkyDays120117.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-12-02,inkyDays120217.jpg,"Navy blue,Purple","#17256C,#5D3E67"
2017-12-03,inkyDays120317.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-12-04,inkyDays120417.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-12-05,inkyDays120517.jpg,"Sepia brown,Aqua blue","#56433F,#134E70"
2017-12-06,inkyDays120617.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-12-07,inkyDays120717.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-12-08,inkyDays120817.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-12-09,inkyDays120917.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-12-10,inkyDays121017.jpg,"Sepia brown,Navy blue,Aqua blue","#56433F,#17256C,#134E70"
2017-12-11,inkyDays121117.jpg,Sepia brown,#56433F
2017-12-12,inkyDays121217_2.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-12-13,inkyDays121317.jpg,"Sepia brown,Navy blue,Aqua blue","#56433F,#17256C,#134E70"
2017-12-14,inkyDays121417.jpg,"Sepia brown,Navy blue,Green","#56433F,#17256C,#245A40"
2017-12-15,inkyDays121517.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-12-16,inkyDays121617.jpg,"Sepia brown,Navy blue,Purple","#56433F,#17256C,#5D3E67"
2017-12-17,inkyDays121717.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-12-18,inkyDays121817.jpg,"Sepia brown,Navy blue,Aqua blue","#56433F,#17256C,#134E70"
2017-12-19,inkyDays121917.jpg,"Sepia brown,Aqua blue","#56433F,#134E70"
2017-12-20,inkyDays122017.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-12-21,inkyDays122117.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-12-22,inkyDays122217.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-12-23,inkyDays122317.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-12-24,inkyDays122417.jpg,"Sepia brown,Navy blue,Aqua blue","#56433F,#17256C,#134E70"
2017-12-25,inkyDays122517.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2017-12-26,inkyDays122617.jpg,"Black,Rose pink,purple","#000000,#EE82EE,#5D3E67"
2017-12-27,inkyDays122717.jpg,Black ballpoint,#000000
2017-12-28,inkyDays122817.jpg,Black ballpoint,#000000
2017-12-29,inkyDays122917.jpg,Black ballpoint,#000000
2017-12-30,inkyDays123017.jpg,Black ballpoint,#000000
2017-12-31,inkyDays123117.jpg,Black ballpoint,#000000
2018-01-01,inkyDays010118.jpg,Black ballpoint,#000000
2018-01-02,inkyDays010218.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2018-01-03,inkyDays010318.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2018-01-04,inkyDays010418.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
2018-01-05,inkyDays010518.jpg,"Avocado,Sepia brown","#23481C,#56433F"
2018-01-06,inkyDays010618.jpg,"Avocado,Navy blue,Sepia brown","#23481C,#17256C,#56433F"
2018-01-07,inkyDays010718.jpg,"Navy blue,Aqua blue","#17256C,#134E70"
2018-01-08,inkyDays010818.jpg,"Sepia brown,Navy blue","#56433F,#17256C"
