id,img_src,img_link,img_alt_txt,title,title_link,text
72,cellMandala.jpg,https://www.etsy.com/listing/72660550/art-from-cell-biology-purple-hemlock,Kaleidoscopic Cell,Kaleidoscopic Cell,https://www.etsy.com/listing/72660550/art-from-cell-biology-purple-hemlock,Art from Cell Biology
71,particleFloralStars.jpg,https://www.etsy.com/listing/253499562/dark-blue-and-yellow-particle-floral,Particle Floral Stars,Particle Floral Stars,https://www.etsy.com/listing/253499562/dark-blue-and-yellow-particle-floral,Dark Blue and Yellow Particle Floral Stars Abstract Art
70,particleFlower.jpg,https://www.etsy.com/listing/253661964/blue-and-grey-abstract-floral-art-print,Particle Flower,Particle Flower,https://www.etsy.com/listing/253661964/blue-and-grey-abstract-floral-art-print,Blue and Grey Abstract Floral Art print Particle Flower Art
69,dividingBoxes.jpg,https://www.etsy.com/listing/262112759/purple-and-green-abstract-geometric-wall,self-dividing boxes,Self-Dividing Boxes,https://www.etsy.com/listing/262112759/purple-and-green-abstract-geometric-wall,"In this generative art series, I'm exploring a variation on a self-dividing box algorithm. The result is reminiscent of fractals, and has an organic appeal."
68,mysticRoseSplatter.jpg,https://www.etsy.com/listing/260117385/abstract-art-based-on-mystic-rose-math,Mystic Rose Splatter,Mystic Rose Splatter,https://www.etsy.com/listing/260117385/abstract-art-based-on-mystic-rose-math,"Abstract Art based on Mystic Rose Math, inspired by Jackson Pollock splatter. Charcoal, Grey, and Olive Green wall art"
67,flowerMandala.jpg,https://www.etsy.com/listing/162350989/olive-green-abstract-flower-mandala,Abstract Flower,Abstract Flower,https://www.etsy.com/listing/162350989/olive-green-abstract-flower-mandala,Olive Green Abstract Flower Mandala generative art print
66,tealBlueCirclesSquares.jpg,https://www.etsy.com/listing/254424034/teal-blue-particle-circles-and-squares,Teal Blue Particles,Teal Blue Particles,https://www.etsy.com/listing/254424034/teal-blue-particle-circles-and-squares,Genertive Art Inspired by Chemistry and Physics
65,tieDyeScatters.jpg,https://www.etsy.com/listing/266057547/garden-party-tie-dye-inspired-abstract,TieDye Scatters,TieDye Scatters,https://www.etsy.com/listing/266057547/garden-party-tie-dye-inspired-abstract,TieDye Nerusciene inspired art
64,particleTraces.jpg,https://www.etsy.com/listing/235222206/abstract-art-from-chemistry-science-and,Particle Traces,Particle Traces,https://www.etsy.com/listing/235222206/abstract-art-from-chemistry-science-and,"With code, I create my particles. Then I set them loose, and they interact with each other generating beautiful images. As I work on a piece, I tinker with the code much like a painter mixes colors on a pallet."
63,cityScape.jpg,https://www.etsy.com/listing/261688187/abstract-art-cityscape-paul-klee,cityscape abstract art,CityScape Abstract Art,https://www.etsy.com/listing/261688187/abstract-art-cityscape-paul-klee,Abstract Art inpsired by Paul Klee and City Scapes
