id,img_src,img_link,img_alt_txt,title,title_link,text
2,map_3_101720.jpg,https://medium.com/@KristinHenry/stickers-and-stamps-23d4e304f099,Stickers And Stamps,Stickers And Stamps,http://kristinhenry.github.io/StickersAndStamps/,"Data science at a human scale. Supporting the USPS while tracking mail delivery times<br><a href=""https://forms.gle/d6GQSkuGfvRNfJAL8"">Sign Up!</a> | <a href=""https://www.patreon.com/KristinHenry/posts?filters%5Btag%5D=Stickers%20%26%20Stamps"">Updates</a> | <a href=""https://kristinhenry.medium.com/stickers-and-stamps-a-bright-spot-in-2020-d3011afefa09"">Article</a> | <a href=""http://kristinhenry.github.io/StickersAndStamps/"">Interactive Viz</a>"
3,sunflowersThumb.jpg,https://artatomic.itch.io/sunflowers,should be alt-text for image,Sunflowers,https://artatomic.itch.io/sunflowers,Generative art piece: an animated meditation.<br>Abstract sunflowers bloom and drop petals<br> <a href='https://artatomic.itch.io/sunflowers'>Play the Animation</a>
4,viralSnowflakesGame.jpg,https://artatomic.itch.io/viralsnowflakes-game,should be alt-text for image,Viral Snowflakes,https://artatomic.itch.io/viralsnowflakes-game,"A Generative Art game with drifting viral snowflakes. Keyboard controlled.<br><a href=""https://artatomic.itch.io/viralsnowflakes-game"">Play the Game</a>"
1,Diffusion_V1_1.png,https://artatomic.itch.io/diffusion,should be alt-text for image,Diffusion,https://artatomic.itch.io/diffusion,"An educational game about Biochemistry and Immune Cells<br><a href=""https://artatomic.itch.io/diffusion"">Play the Game</a>"
5,sassyWatermarkMaker.jpg,https://artatomic.itch.io/sassy-watermark,should be alt-text for image,Sassy Watermark Make,https://artatomic.itch.io/sassy-watermark,"A simple creative tool for adding sassy watermarks to images.<br><a href=""https://artatomic.itch.io/sassy-watermark"">Play Watermarks</a>"
6,flowerMaker.jpg,https://artatomic.itch.io/flowermaker,should be alt-text for image,Flower Maker,https://artatomic.itch.io/flowermaker,"A simple creative tool for generating abstract flowers.<br><a href=""https://artatomic.itch.io/flowermaker"">Make Flowers</a>"
7,howBig_2.jpg,https://kristinhenry.github.io/howBig/,should be alt-text for image,"How big is 400,000?",https://kristinhenry.github.io/howBig/,"Animated data art, visualizing the number 400,000.<br><a href=""https://kristinhenry.github.io/howBig/"">Animation</a> | <a href=""https://kristinhenry.medium.com/how-big-is-400-000-922841dbc986"">Article</a><br><br><a href=""https://kristinhenry.github.io/howBig/500.html"">500,000?</a>"
8,smash_a_rona_v2_virus.jpg,https://artatomic.itch.io/smash-a-rona-v2,should be alt-text for image,Smash-a-rona!,https://artatomic.itch.io/smash-a-rona-v2,"A simple physics game where player defeats viruses. A work-in-progress, combining hand-drawn graphics and a javascript physics engine.<br><a href=""https://artatomic.itch.io/smash-a-rona"">game v1</a> | <a href=""https://artatomic.itch.io/smash-a-rona-v2"">game v2</a>"
9,sampling_2.png,http://kristinhenry.github.io/sampling.html,should be alt-text for image,How does testing for COVID-19 impact our understanding?,http://kristinhenry.github.io/sampling.html,"Scrolly-telling visualization of population sampling.<br><a href=""https://medium.com/@KristinHenry/how-does-our-approach-to-testing-for-covid-19-impact-our-understanding-of-whats-really-happening-bd7f35310aa4"">article</a> | <a href=""http://kristinhenry.github.io/sampling.html"">interactive  </a>"
10,wordbubbles.jpg,https://artatomic.itch.io/data-meditations-an-abstract-koi-pond,should be alt-text for image,Data Meditations: An Abstract Koi Pond,https://artatomic.itch.io/data-meditations-an-abstract-koi-pond,"Data art installation produced in collaboration with Reimagine End of LIfe and Codame Art + Tech Festival<br><a href=""http://kristinhenry.github.io/koipond.html"">info</a> | <a href=""https://artatomic.itch.io/data-meditations-an-abstract-koi-pond"">interactive</a>"
11,inkyDaysChart_sm.jpg,http://kristinhenry.github.io/inkyDays.html,should be alt-text for image,InkyDays Story,http://kristinhenry.github.io/inkyDays.html,"A Year of Daily Drawing: a creative journey and color study told with scrolly-telling and data visualization<br><a href=""http://kristinhenry.github.io/inkyDays.html"">article+charts</a>"
12,treeMap.jpg,https://github.com/KristinHenry/workshopOct2017,should be alt-text for image,Data Cleaning Workshop,https://github.com/KristinHenry/workshopOct2017,"Workshop materials for data cleaning (and some data viz), for workshop at Demystifying AI Oct 2017.<br><a href=""https://github.com/KristinHenry/workshopOct2017"">code</a> | <a href=""https://docs.google.com/presentation/d/1oOV7lVE5ZCniZVHHdFm0tRCzY4E7Ls_XLL88G5RS0jg/edit?usp=sharing"">slides</a></p>"
