Date_str,song_parody,transcript,transcript source,vid length (min),video_id,video_type,video_link,2018-07-16,video_title,2018-01-15,2018-01-29,2018-02-21,2018-03-09,2018-03-17,2018-04-20,2018-05-07,2018-06-08,2018-06-21
"Jul 16, 2018",y,stableGenius.txt,youtube,3:12,k-LTRwZb35A,.webm,https://www.youtube.com/watch?v=k-LTRwZb35A,"6,212","""A VERY STABLE GENIUS""",0,0,0,0,0,0,0,0,0
"Jun 21, 2018",y,wtf.txt,youtube,4:29,ygYA7Au9th0,.mkv,https://www.youtube.com/watch?v=ygYA7Au9th0,"209,860","""WTF, YOU GUYS!?""",0,0,0,0,0,0,0,0,"11,039"
"Jun 8, 2018",y,commanderOfCheese.txt,youtube,4:14,XFZU1XLwZGg,.mkv,https://www.youtube.com/watch?v=XFZU1XLwZGg,"164,276","""COMMANDER OF CHEESE!""",0,0,0,0,0,0,0,"13,693","137,239"
"May 7, 2018",y,rudyAndTheBeast.txt,youtube,4:43,rLtEaZtz1E4,.mkv,https://www.youtube.com/watch?v=rLtEaZtz1E4,"274,453","""RUDY and the BEAST""",0,0,0,0,0,0,"7,023","228,008","249,666"
"Apr 9, 2018",y,none,none,5:01,EBZbwdCHorQ,.webm,https://www.youtube.com/watch?v=EBZbwdCHorQ,"227,016","""YOU CAN'T STOP HIS TWEETS!""",0,0,0,0,0,"126,308","155,126","198,826","209,029"
"Mar 16, 2018",n,devos.txt,youtube,3:51,hRQNtWLCSh0,.mkv,https://www.youtube.com/watch?v=hRQNtWLCSh0,"171,180","""Randy Rainbow Interviews Betsy DeVos!""",0,0,0,0,"36,811","140,000","146,172","159,379","163,226"
"Mar 5, 2018",y,kids.txt,youtube,3:50,9dcTw-Jk-yE,.mkv,https://www.youtube.com/watch?v=9dcTw-Jk-yE,"226,594","""KIDS! A Randy Rainbow Song Parody""",0,0,0,"92,401","134,885","194,300","201,408","213,607","217,901"
"Feb 12, 2018",y,none,none,4:20,nGP0cuilgWE,.webm,https://www.youtube.com/watch?v=nGP0cuilgWE,"175,772","""STAND BY YOUR MAN (Donald Trump)",0,0,"117,981","142,184","148,032","160,541","163,361","168,989","170,901"
"Jan 29, 2018",y,none,none,4:28,_4q8x5fR4Sw,.webm,https://www.youtube.com/watch?v=_4q8x5fR4Sw,"342,496","""ALL ABOUT HIS BASE""",0,"23,454","218,187","245,106","254,986","286,047","295,861","315,559","323,193"
"Jan 8, 2018",y,buttons.txt,youtube,3:13,kDB5b5aYef4,.webm,https://www.youtube.com/watch?v=kDB5b5aYef4,"209,697","""Buttons!"" ","114,209","151,464","173,509","179,943","182,826","191,689","195,185","203,693","206,504"
"Dec 11, 2017",y,sheWasSixteen.txt,youtube,4:59,Y3WhDE-O6lc,.webm,https://www.youtube.com/watch?v=Y3WhDE-O6lc,"277,706","""She Was SIXTEEN GOING ON SEVENTEEN""","169,613","189,562","214,218","223,267","227,244","240,566","245,337","261,212","265,713"
"Nov 14, 2017",y,thoseWereTheGoodOldDays.txt,youtube,4:40,2oW1CN8sbw0,.webm,https://www.youtube.com/watch?v=2oW1CN8sbw0,"262,102","""THOSE WERE THE GOOD OLD DAYS""","184,650","192,420","210,471","216,603","219,740","230,216","233,538","241,474","244,592"
"Oct 31, 2017",y,none,none,3:14,U8vD8ZP-eMI,.webm,https://www.youtube.com/watch?v=U8vD8ZP-eMI,"247,899","""SWEET INDICTMENT""","204,466","209,199","219,045","224,295","226,169","232,588","234,797","239,778","241,766"
"Oct 11, 2017",y,none,none,4:30,LTosB6V_V24,.webm,https://www.youtube.com/watch?v=LTosB6V_V24,"1,425,942","""DESPERATE CHEETO""","959,900","1,040,356","1,148,607","1,193,144","1,212,828","1,285,319","1,313,437","1,362,788","1,383,122"
"Sep 25, 2017",y,howDoYouSolveAProblemLikeKorea.txt,youtube,4:37,580dYcYCneA,.webm,https://www.youtube.com/watch?v=580dYcYCneA,"678,745","""How Do You Solve A Problem Like Korea?""","508,729","536,968","566,442","578,818","584,524","604,510","613,014","647,624","658,406"
"Sep 6, 2017",y,dacaShame.txt,youtube,3:55,q1CqNLgM5JU,.webm,https://www.youtube.com/watch?v=q1CqNLgM5JU,"237,718","""DACA Shame""","213,831","217,359","224,179","226,907","227,836","231,800","232,756","234,786","235,628"
"Aug 21, 2017",y,yesWeHaveNoSteveBannon.txt,youtube,4:01,If4eQHYKSu8,.mkv,https://www.youtube.com/watch?v=If4eQHYKSu8,"265,455","""YES! WE HAVE NO STEVE BANNON!""","222,062","227,591","236,837","240,884","243,126","251,175","254,051","260,080","262,064"
"Jul 31, 2017",y,theSychophantItaliano.txt,youtube,4:14,UO3ZIBONcr4,.webm,https://www.youtube.com/watch?v=UO3ZIBONcr4,"207,264","""THE SYCOPHANT ITALIANO""","175,309","178,921","186,353","189,755","191,629","197,838","199,454","203,883","205,383"
"Jul 21, 2017",y,theRoomWhereItHappened.txt,youtube,4:51,5h56N_uwS7c,.mkv,https://www.youtube.com/watch?v=5h56N_uwS7c,"352,907","""THE ROOM WHERE IT HAPPENED""","254,894","270,662","290,755","299,585","304,838","322,727","327,368","339,686","343,696"
"Jul 5, 2017",y,beforeHeTweets.txt,youtube,3:45,0kiVjtH7w8w,.webm,https://www.youtube.com/watch?v=0kiVjtH7w8w,"512,693","""BEFORE HE TWEETS""","425,542","435,043","462,848","473,825","478,042","491,570","495,631","503,451","506,298"
"Jun 16, 2017",y,russiaTies.txt,youtube,4:15,EYgi5MyMqCs,.webm,https://www.youtube.com/watch?v=EYgi5MyMqCs,"320,179","""RUSSIA TIES""","255,080","260,901","273,719","280,493","283,865","295,792","299,881","308,947","312,363"
"Jun 2, 2017",y,none,none,4:19,1UW2ZndKqcg,.mkv,https://www.youtube.com/watch?v=1UW2ZndKqcg,"608,284","""COVFEFE: THE BROADWAY MEDLEY!""","523,125","534,567","556,248","565,773","569,680","580,631","584,414","597,048","600,681"
"May 30, 2017",y,none,none,3:46,XQmFeX_Srhs,.mkv,https://www.youtube.com/watch?v=XQmFeX_Srhs,"164,293","""Donald Trump's MANGO TOUR!""","151,719","152,985","155,765","157,247","157,798","159,778","160,495","161,955","162,567"
"May 15, 2017",y,none,none,4:23,V2OuJYaz_oE,.webm,https://www.youtube.com/watch?v=V2OuJYaz_oE,"235,691","""THE RUSSIAN CONNECTION""","207,970","210,420","215,341","218,148","219,628","225,372","227,241","231,021","232,220"
"May 1, 2017",y,unpopular.txt,youtube,4:33,TPg0BWvhMkA,.mkv,https://www.youtube.com/watch?v=TPg0BWvhMkA,"449,450","""UNPOPULAR!""","382,746","390,150","403,774","409,976","413,328","425,597","429,847","438,532","441,599"
"Apr 21, 2017",y,justMyBill.txt,youtube,3:11,_H48C_xf8HE,.webm,https://www.youtube.com/watch?v=_H48C_xf8HE,"141,504","""JUST MY BILL (O'Reilly)""","123,408","125,675","130,112","131,990","132,800","135,983","137,053","139,650","140,397"
"Apr 6, 2017",n,randyRainbowInterviewsIvankaTrump.txt,youtube,3:18,LPQYAT3wH_g,.webm,https://www.youtube.com/watch?v=LPQYAT3wH_g,"289,927","""Randy Rainbow Interviews Ivanka Trump""","212,721","220,275","233,385","241,381","249,893","267,457","270,162","281,296","283,839"
"Mar 19, 2017",y,killTheRelease.txt,youtube,2:30,ji5nOTjlVuA,.mkv,https://www.youtube.com/watch?v=ji5nOTjlVuA,"114,927","""KILL THE RELEASE!""","101,007","102,292","105,325","106,761","107,349","109,699","110,538","112,365","113,417"
"Mar 15, 2017",y,microwaves.txt,youtube,3:40,Ub5GkBtIjhc,.webm,https://www.youtube.com/watch?v=Ub5GkBtIjhc,"319,129","""MICROWAVES (Are Watching You!)""","280,154","284,506","292,029","295,737","297,628","304,872","307,250","313,442","315,279"
"Mar 6, 2017",y,putinAndTheRitz.txt,youtube,3:14,dReOdQmt-Qk,.mkv,https://www.youtube.com/watch?v=dReOdQmt-Qk,"340,203","""PUTIN AND THE RITZ""","293,417","297,996","306,990","311,869","314,438","323,069","325,901","332,922","335,011"
