Date_str,song_parody,transcript,transcript source,vid length (min),video_id,video_type,video_link,2019-02-19,2019-01-28,video_title,2018-01-15,2018-01-29,2018-02-21,2018-03-09,2018-03-17,2018-04-20,2018-05-07,2018-06-08,2018-06-21,2018-07-16,2018-08-21,2018-08-27,2018-09-24,2018-10-15,2018-11-05,2018-12-05,2019-01-14,,RemovedFromYoutube
"Feb 19, 2019",y,borderLies.txt,youtube,4:34,EInIEuNSMrI,.mkv,https://www.youtube.com/watch?v=EInIEuNSMrI,"34,794",0,BORDER LIES - Randy Rainbow Song Parody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Jan 28, 2019",y,donaldCellBlockTango.txt,youtube,4:33,ihvgfU_g7LI,.webm,https://www.youtube.com/watch?v=ihvgfU_g7LI,"676,796","95,430","""The Donald Trump CELL BLOCK TANGO (Part One) - Randy Rainbow Song Parody""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Jan 14, 2019",y,nothingLikeAWall.txt,youtube,4:44,ZL5CDt_1xcE,.webm,https://www.youtube.com/watch?v=ZL5CDt_1xcE,"715,995","611,536","""THERE IS NOTHIN' LIKE A WALL""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"89,145",,
"Dec 5, 2018",y,tumpFavoriteThings.txt,youtube,4:36,Nv4207c9M74,.webm,https://www.youtube.com/watch?v=Nv4207c9M74,"753,420","692,594","""Trump's Favorite Things!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,899","651,476",,
"Nov 5, 2018",y,voting.txt,youtube,4:54,-jDGQHaWiNQ,.webm,https://www.youtube.com/watch?v=-jDGQHaWiNQ,"430,966","406,203","""VOTING!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"55,431","353,571","393,719",,
"Oct 15, 2018",y,beBest.txt,youtube,4:28,HJVXDqzUFQA,.webm,https://www.youtube.com/watch?v=HJVXDqzUFQA,"684,582","624,315","""Just BE BEST!""",0,0,0,0,0,0,0,0,0,0,0,0,0,"45,240","440,104","517,733","597,324",,
"Sep 24, 2018",y,kavenaugh.txt,youtube,4:44,6gG0-6Ntx7w,.mkv,https://www.youtube.com/watch?v=6gG0-6Ntx7w,"637,162","616,785","""KAVANAUGH!""",0,0,0,0,0,0,0,0,0,0,0,0,"55,808","499,481","553,197","577,874","607,354",,
"Aug 27, 2018",y,ifEverGotImpeached.txt,youtube,4:04,sWTiFcl9OhU,.webm,https://www.youtube.com/watch?v=sWTiFcl9OhU,"980,580","917,804","""IF YOU EVER GOT IMPEACHED""",0,0,0,0,0,0,0,0,0,0,0,"43,719","667,127","722,059","762,215","796,597","888,083",,
"Aug 21, 2018",y,omarosa.txt,youtube,4:22,7Bv_BWUmWN4,.webm,https://www.youtube.com/watch?v=7Bv_BWUmWN4,"636,061","610,911","""OMAROSA!""",0,0,0,0,0,0,0,0,0,0,"65,886","338,084","489,949","520,665","543,993","565,408","598,642",,
"Jul 16, 2018",y,stableGenius.txt,youtube,3:12,k-LTRwZb35A,.webm,https://www.youtube.com/watch?v=k-LTRwZb35A,"1,968,448","1,922,205","""A VERY STABLE GENIUS""",0,0,0,0,0,0,0,0,0,"6,212","1,426,860","1,481,779","1,639,039","1,704,857","1,755,800","1,814,698","1,896,143",,
"Jun 21, 2018",y,wtf.txt,youtube,4:29,ygYA7Au9th0,.mkv,https://www.youtube.com/watch?v=ygYA7Au9th0,"506,894","484,063","""WTF, YOU GUYS!?""",0,0,0,0,0,0,0,0,"11,039","209,860","304,086","321,526","384,845","406,863","427,133","444,560","473,435",,
"Jun 8, 2018",y,commanderOfCheese.txt,youtube,4:14,XFZU1XLwZGg,.mkv,https://www.youtube.com/watch?v=XFZU1XLwZGg,"305,972","286,036","""COMMANDER OF CHEESE!""",0,0,0,0,0,0,0,"13,693","137,239","164,276","200,609","206,934","229,496","238,345","249,213","260,134","277,563",,
"May 7, 2018",y,rudyAndTheBeast.txt,youtube,4:43,rLtEaZtz1E4,.mkv,https://www.youtube.com/watch?v=rLtEaZtz1E4,"748,897","695,527","""RUDY and the BEAST""",0,0,0,0,0,0,"7,023","228,008","249,666","274,453","376,637","413,077","524,073","557,405","583,173","604,431","662,261",,
"Apr 9, 2018",y,none,none,5:01,EBZbwdCHorQ,.webm,https://www.youtube.com/watch?v=EBZbwdCHorQ,"447,026","423,915","""YOU CAN'T STOP HIS TWEETS!""",0,0,0,0,0,"126,308","155,126","198,826","209,029","227,016","287,230","298,777","339,000","352,959","366,212","382,313","412,949",,
"Mar 16, 2018",n,devos.txt,youtube,3:51,hRQNtWLCSh0,.mkv,https://www.youtube.com/watch?v=hRQNtWLCSh0,"297,853","285,601","""Randy Rainbow Interviews Betsy DeVos!""",0,0,0,0,"36,811","140,000","146,172","159,379","163,226","171,180","201,359","207,434","237,540","248,069","255,984","263,765","280,110",,
"Mar 5, 2018",y,kids.txt,youtube,3:50,9dcTw-Jk-yE,.mp4,https://www.youtube.com/watch?v=9dcTw-Jk-yE,"368,521","352,950","""KIDS! A Randy Rainbow Song Parody""",0,0,0,"92,401","134,885","194,300","201,408","213,607","217,901","226,594","259,848","270,436","297,150","306,499","317,291","330,762","347,797",,
"Feb 12, 2018",y,none,none,4:20,nGP0cuilgWE,.webm,https://www.youtube.com/watch?v=nGP0cuilgWE,"409,347","375,115","""STAND BY YOUR MAN (Donald Trump)",0,0,"117,981","142,184","148,032","160,541","163,361","168,989","170,901","175,772","207,373","217,709","266,666","284,704","299,962","319,188","358,205",,
"Jan 29, 2018",y,none,none,4:28,_4q8x5fR4Sw,.webm,https://www.youtube.com/watch?v=_4q8x5fR4Sw,"668,172","630,794","""ALL ABOUT HIS BASE""",0,"23,454","218,187","245,106","254,986","286,047","295,861","315,559","323,193","342,496","403,812","417,885","486,799","511,731","535,787","562,300","615,115",,
"Jan 8, 2018",y,buttons.txt,youtube,3:13,kDB5b5aYef4,.webm,https://www.youtube.com/watch?v=kDB5b5aYef4,"283,590","272,424","""Buttons!"" ","114,209","151,464","173,509","179,943","182,826","191,689","195,185","203,693","206,504","209,697","220,352","223,151","238,499","243,821","250,135","255,579","267,197",,
"Dec 11, 2017",y,sheWasSixteen.txt,youtube,4:59,Y3WhDE-O6lc,.mkv,https://www.youtube.com/watch?v=Y3WhDE-O6lc,"505,409","487,301","""She Was SIXTEEN GOING ON SEVENTEEN""","169,613","189,562","214,218","223,267","227,244","240,566","245,337","261,212","265,713","277,706","332,256","341,679","385,636","405,404","426,714","442,687","472,470",,
"Nov 14, 2017",y,thoseWereTheGoodOldDays.txt,youtube,4:40,2oW1CN8sbw0,.webm,https://www.youtube.com/watch?v=2oW1CN8sbw0,"391,395","376,916","""THOSE WERE THE GOOD OLD DAYS""","184,650","192,420","210,471","216,603","219,740","230,216","233,538","241,474","244,592","262,102","287,331","293,878","331,277","343,048","354,742","361,512","372,474",,
"Oct 31, 2017",y,none,none,3:14,U8vD8ZP-eMI,.webm,https://www.youtube.com/watch?v=U8vD8ZP-eMI,"378,482","364,488","""SWEET INDICTMENT""","204,466","209,199","219,045","224,295","226,169","232,588","234,797","239,778","241,766","247,899","275,029","286,140","316,175","324,310","331,443","339,259","357,020",,
"Oct 11, 2017",y,none,none,4:30,LTosB6V_V24,.webm,https://www.youtube.com/watch?v=LTosB6V_V24,"1,983,311","1,922,430","""DESPERATE CHEETO""","959,900","1,040,356","1,148,607","1,193,144","1,212,828","1,285,319","1,313,437","1,362,788","1,383,122","1,425,942","1,533,133","1,556,186","1,658,282","1,704,869","1,754,730","1,808,379","1,884,678",,
"Sep 25, 2017",y,howDoYouSolveAProblemLikeKorea.txt,youtube,4:37,580dYcYCneA,.webm,https://www.youtube.com/watch?v=580dYcYCneA,"877,409","862,659","""How Do You Solve A Problem Like Korea?""","508,729","536,968","566,442","578,818","584,524","604,510","613,014","647,624","658,406","678,745","749,038","760,479","797,251","810,394","823,784","836,542","855,114",,
"Sep 6, 2017",y,dacaShame.txt,youtube,3:55,q1CqNLgM5JU,.webm,https://www.youtube.com/watch?v=q1CqNLgM5JU,"313,583","296,899","""DACA Shame""","213,831","217,359","224,179","226,907","227,836","231,800","232,756","234,786","235,628","237,718","244,260","246,037","254,821","259,138","265,342","271,055","290,200",,
"Aug 21, 2017",y,yesWeHaveNoSteveBannon.txt,youtube,4:01,If4eQHYKSu8,.mkv,https://www.youtube.com/watch?v=If4eQHYKSu8,"381,793","370,163","""YES! WE HAVE NO STEVE BANNON!""","222,062","227,591","236,837","240,884","243,126","251,175","254,051","260,080","262,064","265,455","279,645","284,457","303,666","315,620","331,872","343,773","359,045",,
"Jul 31, 2017",y,theSychophantItaliano.txt,youtube,4:14,UO3ZIBONcr4,.webm,https://www.youtube.com/watch?v=UO3ZIBONcr4,"277,195","268,461","""THE SYCOPHANT ITALIANO""","175,309","178,921","186,353","189,755","191,629","197,838","199,454","203,883","205,383","207,264","217,587","221,368","233,811","239,044","246,023","252,311","263,189",,
"Jul 21, 2017",y,theRoomWhereItHappened.txt,youtube,4:51,5h56N_uwS7c,.mkv,https://www.youtube.com/watch?v=5h56N_uwS7c,"599,350","580,365","""THE ROOM WHERE IT HAPPENED""","254,894","270,662","290,755","299,585","304,838","322,727","327,368","339,686","343,696","352,907","398,601","412,254","467,007","486,297","502,213","532,403","570,586",,
