Date_str,song_parody,transcript,transcript source,vid length (min),video_id,video_type,video_link,2019-04-29,2019-04-02,video_title,2018-01-15,2018-01-29,2018-02-21,2018-03-09,2018-03-17,2018-04-20,2018-05-07,2018-06-08,2018-06-21,2018-07-16,2018-08-21,2018-08-27,2018-09-24,2018-10-15,2018-11-05,2018-12-05,2019-01-14,2019-01-28,2019-02-19,2019-03-06,2019-03-28,,RemovedFromYoutube
"Apr 29, 2019",y,barr.txt,youtube,4:47,etTXjK-S7RI,.webm,https://www.youtube.com/watch?v=etTXjK-S7RI,"47,683",0,BARR! - Randy Rainbow Song Parody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Apr 2, 2019",y,cruellaDevos.txt,youtube,4:02,Bca9d5A-Y_U,.webm,https://www.youtube.com/watch?v=Bca9d5A-Y_U,"306,651","84,910","""CRUELLA DEVOS""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Mar 28, 2019",y,muellerBlues.txt,youtube,4:46,l8dSbMZVFOg,.webm,https://www.youtube.com/watch?v=l8dSbMZVFOg,"237,940","194,522","""THE MUELLER BLUES""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"42,397",,
"Mar 6, 2019",y,hesInLove.txt,youtube,4:35,z7q0bz0sk30,.webm,https://www.youtube.com/watch?v=z7q0bz0sk30,"487,644","465,717","""HE'S IN LOVE (and we're all gonna die)""y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"64,901","453,838",,
"Feb 19, 2019",y,borderLies.txt,youtube,4:34,EInIEuNSMrI,.mkv,https://www.youtube.com/watch?v=EInIEuNSMrI,"550,923","532,690","""BORDER LIES""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,794","479,472","527,813",,
"Jan 28, 2019",y,donaldCellBlockTango.txt,youtube,4:33,ihvgfU_g7LI,.webm,https://www.youtube.com/watch?v=ihvgfU_g7LI,"801,718","783,675","""The Donald Trump CELL BLOCK TANGO (Part One)""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"95,430","676,796","734,864","778,453",,
"Jan 14, 2019",y,nothingLikeAWall.txt,youtube,4:44,ZL5CDt_1xcE,.webm,https://www.youtube.com/watch?v=ZL5CDt_1xcE,"803,577","787,808","""THERE IS NOTHIN' LIKE A WALL""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"89,145","611,536","715,995","753,175","783,737",,
"Dec 5, 2018",y,tumpFavoriteThings.txt,youtube,4:36,Nv4207c9M74,.webm,https://www.youtube.com/watch?v=Nv4207c9M74,"834,263","814,224","""Trump's Favorite Things!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"27,899","651,476","692,594","753,420","780,750","809,750",,
"Nov 5, 2018",y,voting.txt,youtube,4:54,-jDGQHaWiNQ,.webm,https://www.youtube.com/watch?v=-jDGQHaWiNQ,"457,674","451,460","""VOTING!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"55,431","353,571","393,719","406,203","430,966","440,220","449,740",,
"Oct 15, 2018",y,beBest.txt,youtube,4:28,HJVXDqzUFQA,.webm,https://www.youtube.com/watch?v=HJVXDqzUFQA,"770,380","748,995","""Just BE BEST!""",0,0,0,0,0,0,0,0,0,0,0,0,0,"45,240","440,104","517,733","597,324","624,315","684,582","711,882","743,716",,
"Sep 24, 2018",y,kavenaugh.txt,youtube,4:44,6gG0-6Ntx7w,.mkv,https://www.youtube.com/watch?v=6gG0-6Ntx7w,"665,817","659,524","""KAVANAUGH!""",0,0,0,0,0,0,0,0,0,0,0,0,"55,808","499,481","553,197","577,874","607,354","616,785","637,162","646,482","657,685",,
"Aug 27, 2018",y,ifEverGotImpeached.txt,youtube,4:04,sWTiFcl9OhU,.webm,https://www.youtube.com/watch?v=sWTiFcl9OhU,"1,052,077","1,036,662","""IF YOU EVER GOT IMPEACHED""",0,0,0,0,0,0,0,0,0,0,0,"43,719","667,127","722,059","762,215","796,597","888,083","917,804","980,580","1,007,355","1,032,939",,
"Aug 21, 2018",y,omarosa.txt,youtube,4:22,7Bv_BWUmWN4,.webm,https://www.youtube.com/watch?v=7Bv_BWUmWN4,"677,361","670,173","""OMAROSA!""",0,0,0,0,0,0,0,0,0,0,"65,886","338,084","489,949","520,665","543,993","565,408","598,642","610,911","636,061","651,891","667,600",,
"Jul 16, 2018",y,stableGenius.txt,youtube,3:12,k-LTRwZb35A,.webm,https://www.youtube.com/watch?v=k-LTRwZb35A,"2,050,914","2,030,228","""A VERY STABLE GENIUS""",0,0,0,0,0,0,0,0,0,"6,212","1,426,860","1,481,779","1,639,039","1,704,857","1,755,800","1,814,698","1,896,143","1,922,205","1,968,448","1,998,407","2,025,987",,
"Jun 21, 2018",y,wtf.txt,youtube,4:29,ygYA7Au9th0,.mkv,https://www.youtube.com/watch?v=ygYA7Au9th0,"541,570","533,268","""WTF, YOU GUYS!?""",0,0,0,0,0,0,0,0,"11,039","209,860","304,086","321,526","384,845","406,863","427,133","444,560","473,435","484,063","506,894","518,307","531,181",,
"Jun 8, 2018",y,commanderOfCheese.txt,youtube,4:14,XFZU1XLwZGg,.mkv,https://www.youtube.com/watch?v=XFZU1XLwZGg,"346,795","338,273","""COMMANDER OF CHEESE!""",0,0,0,0,0,0,0,"13,693","137,239","164,276","200,609","206,934","229,496","238,345","249,213","260,134","277,563","286,036","305,972","319,521","334,342",,
"May 7, 2018",y,rudyAndTheBeast.txt,youtube,4:43,rLtEaZtz1E4,.mkv,https://www.youtube.com/watch?v=rLtEaZtz1E4,"808,977","798,146","""RUDY and the BEAST""",0,0,0,0,0,0,"7,023","228,008","249,666","274,453","376,637","413,077","524,073","557,405","583,173","604,431","662,261","695,527","748,897","773,747","794,627",,
"Apr 9, 2018",y,none,none,5:01,EBZbwdCHorQ,.webm,https://www.youtube.com/watch?v=EBZbwdCHorQ,"483,089","472,296","""YOU CAN'T STOP HIS TWEETS!""",0,0,0,0,0,"126,308","155,126","198,826","209,029","227,016","287,230","298,777","339,000","352,959","366,212","382,313","412,949","423,915","447,026","456,868","469,645",,
"Mar 16, 2018",n,devos.txt,youtube,3:51,hRQNtWLCSh0,.mkv,https://www.youtube.com/watch?v=hRQNtWLCSh0,"321,307","316,530","""Randy Rainbow Interviews Betsy DeVos!""",0,0,0,0,"36,811","140,000","146,172","159,379","163,226","171,180","201,359","207,434","237,540","248,069","255,984","263,765","280,110","285,601","297,853","304,863","311,554",,
"Mar 5, 2018",y,kids.txt,youtube,3:50,9dcTw-Jk-yE,.mp4,https://www.youtube.com/watch?v=9dcTw-Jk-yE,"388,818","384,407","""KIDS! A Randy Rainbow Song Parody""",0,0,0,"92,401","134,885","194,300","201,408","213,607","217,901","226,594","259,848","270,436","297,150","306,499","317,291","330,762","347,797","352,950","368,521","375,463","382,436",,
"Feb 12, 2018",y,none,none,4:20,nGP0cuilgWE,.webm,https://www.youtube.com/watch?v=nGP0cuilgWE,"462,381","450,740","""STAND BY YOUR MAN (Donald Trump)",0,0,"117,981","142,184","148,032","160,541","163,361","168,989","170,901","175,772","207,373","217,709","266,666","284,704","299,962","319,188","358,205","375,115","409,347","428,838","446,820",,
"Jan 29, 2018",y,none,none,4:28,_4q8x5fR4Sw,.webm,https://www.youtube.com/watch?v=_4q8x5fR4Sw,"716,692","703,791","""ALL ABOUT HIS BASE""",0,"23,454","218,187","245,106","254,986","286,047","295,861","315,559","323,193","342,496","403,812","417,885","486,799","511,731","535,787","562,300","615,115","630,794","668,172","685,591","700,969",,
"Jan 8, 2018",y,buttons.txt,youtube,3:13,kDB5b5aYef4,.webm,https://www.youtube.com/watch?v=kDB5b5aYef4,"299,697","296,120","""Buttons!"" ","114,209","151,464","173,509","179,943","182,826","191,689","195,185","203,693","206,504","209,697","220,352","223,151","238,499","243,821","250,135","255,579","267,197","272,424","283,590","288,945","294,983",,
"Dec 11, 2017",y,sheWasSixteen.txt,youtube,4:59,Y3WhDE-O6lc,.mkv,https://www.youtube.com/watch?v=Y3WhDE-O6lc,"528,267","522,105","""She Was SIXTEEN GOING ON SEVENTEEN""","169,613","189,562","214,218","223,267","227,244","240,566","245,337","261,212","265,713","277,706","332,256","341,679","385,636","405,404","426,714","442,687","472,470","487,301","505,409","512,512","520,858",,
