Date_str,views_as_of_Jan-15-18,song_parody,video_title,trasncript,transcript source,video_link,vid length (min)
"Jan 8, 2018","114,209",y,"""Buttons!"" ",buttons.txt,youtube,https://www.youtube.com/watch?v=kDB5b5aYef4,3:13
"Dec 11, 2017","169,613",y,"""She Was SIXTEEN GOING ON SEVENTEEN""",sheWasSixteen.txt,youtube,https://www.youtube.com/watch?v=Y3WhDE-O6lc,4:59
"Nov 14, 2017","184,650",n,"""THOSE WERE THE GOOD OLD DAYS""",thoseWereTheGoodOldDays.txt,youtube,https://www.youtube.com/watch?v=2oW1CN8sbw0,4:40
"Oct 31, 2017","204,466",y,"""SWEET INDICTMENT""",none,none,https://www.youtube.com/watch?v=U8vD8ZP-eMI,3:14
"Oct 11, 2017","959,900",y,"""DESPERATE CHEETO""",none,none,https://www.youtube.com/watch?v=LTosB6V_V24,4:30
"Sep 25, 2017","508,729",y,"""How Do You Solve A Problem Like Korea?""",howDoYouSolveAProblemLikeKorea.txt,youtube,https://www.youtube.com/watch?v=580dYcYCneA,4:37
"Sep 6, 2017","213,831",y,"""DACA Shame""",dacaShame.txt,youtube,https://www.youtube.com/watch?v=q1CqNLgM5JU,3:55
"Aug 21, 2017","222,062",y,"""YES! WE HAVE NO STEVE BANNON!""",yesWeHaveNoSteveBannon.txt,youtube,https://www.youtube.com/watch?v=If4eQHYKSu8,4:01
"Jul 31, 2017","175,309",y,"""THE SYCOPHANT ITALIANO""",theSychophantItaliano.txt,youtube,https://www.youtube.com/watch?v=UO3ZIBONcr4,4:14
"Jul 21, 2017","254,894",y,"""THE ROOM WHERE IT HAPPENED""",theRoomWhereItHappened.txt,youtube,https://www.youtube.com/watch?v=5h56N_uwS7c,4:51
"Jul 5, 2017","425,542",y,"""BEFORE HE TWEETS""",beforeHeTweets,youtube,https://www.youtube.com/watch?v=0kiVjtH7w8w,3:45
"Jun 16, 2017","255,080",y,"""RUSSIA TIES""",russiaTies.txt,youtube,https://www.youtube.com/watch?v=EYgi5MyMqCs,4:15
"Jun 02, 2017","523,125",y,"""COVFEFE: THE BROADWAY MEDLEY!""",none,none,https://www.youtube.com/watch?v=1UW2ZndKqcg,4:19
"May 30, 2017","151,719",y,"""Donald Trump's MANGO TOUR!""",none,none,https://www.youtube.com/watch?v=XQmFeX_Srhs,3:46
"May 15, 2017","207,970",y,"""THE RUSSIAN CONNECTION""",none,none,https://www.youtube.com/watch?v=V2OuJYaz_oE,4:23
"May 1, 2017","382,746",y,"""UNPOPULAR!""",unpopular.txt,youtube,https://www.youtube.com/watch?v=TPg0BWvhMkA,4:33
"Apr 21, 2017","123,408",y,"""JUST MY BILL (O'Reilly)""",justMyBill.txt,youtube,https://www.youtube.com/watch?v=_H48C_xf8HE,3:11
"Apr 6, 2017","212,721",n,"""Randy Rainbow Interviews Ivanka Trump""",randyRainbowInterviewsIvankaTrump.txt,youtube,https://www.youtube.com/watch?v=LPQYAT3wH_g,3:18
"Mar 19, 2017","101,007",y,"""KILL THE RELEASE!""",killTheRelease.txt,youtube,https://www.youtube.com/watch?v=ji5nOTjlVuA,2:30
"Mar 15, 2017","280,154",y,"""MICROWAVES (Are Watching You!)""",microwaves.txt,youtube,https://www.youtube.com/watch?v=Ub5GkBtIjhc,3:40
"Mar 6, 2017","293,417",y,"""PUTIN AND THE RITZ""",putinAndTheRitz.txt,youtube,https://www.youtube.com/watch?v=dReOdQmt-Qk,3:14
"Feb 22, 2017","330,348",y,"""You're Making Things Up Again, Donald!""",yourMakingThingsUpAgain.txt,youtube,https://www.youtube.com/watch?v=yf0CKA0zN0g,3:52
"Feb 6, 2017","438,284",y,"""FACT-CHECKER, FACT-CHECKER""",factChecker.txt,youtube,https://www.youtube.com/watch?v=NLaYDmJYE8k,3:39
"Jan 24, 2017","617,119",y,"""ALTERNATIVE FACTS""",alternativeFacts.txt,youtube,https://www.youtube.com/watch?v=OdV_8TGswRA,3:35
"Jan 17, 2017","76,385",y,"""Randy Rainbow Interviews Jennifer Holliday""",randyRainbowInterviewsJenniferHolliday.txt,youtube,https://www.youtube.com/watch?v=IMBwyVGUFls,2:58
"Jan 11, 2017","258,528",y,"""TWEETS, TWEETS & NOTHING BUT TWEETS""",tweetsTweetsNothingButTweets.txt,youtube,https://www.youtube.com/watch?v=qEVtRrcg3dg,3:11
"Jan 9, 2017","239,524",n,"""Randy Rainbow Exit-Interviews Barack Obama""",exitInterviewsBarackObama.txt,youtube,https://www.youtube.com/watch?v=NEel6Ng2e-0,4:02
"Dec 14, 2016","164,050",n,"""Randy Rainbow Interviews Donald Trump: PART THREE""",interviewsDonaldTrumpPart3.txt,youtube,https://www.youtube.com/watch?v=5e3FuzTPFT0,4:10
"Nov 22, 2016","246,664",y,"""Donald Trump, Grow Up! - Randy Rainbow HAMILTON Song Parody""",donaldTrumpGrowUp.txt,youtube,https://www.youtube.com/watch?v=5Gxp6gzKvXk,4:18
"Nov 16, 2016","205,302",n,"""Randy Rainbow Interviews the New First Family!""",interviewsNewFirstFamily.txt,youtube,https://www.youtube.com/watch?v=o5harjyjggI,3:59
"Nov 10, 2016","79,248",y,"""HILLARY WINS!?!? - RANDY RAINBOW'S AMERICAN DREAM (Musical)""",none,none,https://www.youtube.com/watch?v=uc87elr2Ohs,2:55
"Nov 6, 2016","98,698",y,"""TRUMP-PENCE, TRUMP-PENCE""",none,none,https://www.youtube.com/watch?v=G19s4OmvFw8,2:51
"Oct 24, 2016","261,625",y,"""THE NASTY WOMAN""",nastyWoman.txt,youtube,https://www.youtube.com/watch?v=WC7u_IKEWwA,3:38
"Oct 18, 2016","754,213",n,"""RANDY RAINBOW Interviews MELANIA TRUMP!""",interviewsMelaniaTrump.txt,youtube,https://www.youtube.com/watch?v=oYagr8TdBl0,3:45
"Oct 10, 2016","220,307",y,"""GRAB 'EM BY THE P***Y! (Censored)""",grabEmBy.txt,youtube,https://www.youtube.com/watch?v=1jp-PK1TihE,2:14
"Oct 6, 2016","91,104",n,"""RANDY RAINBOW Moderates the 2016 VP DEBATE""",randyRainbowModerates2016VPdebate.txt,youtube,https://www.youtube.com/watch?v=xGA5O49T_qE,4:03
"Sep 28, 2016","927,568",y,"""BRAGGADOCIOUS!: Randy Rainbow Moderates Debate #1""",braggadocious.txt,youtube,https://www.youtube.com/watch?v=ldfF6chin5s,2:57
"Sep 20, 2016","240,786",n,"""RANDY RAINBOW Interviews Trump Campaign Manager KELLYANNE CONWAY""",interviewsTrumpCampaign.txt,youtube,https://www.youtube.com/watch?v=fkIDDl1u53g,2:53
"Sep 9, 2016","86,063",n,"""Randy Rainbow Interviews Gary Johnson #WhatIsAleppo""",interviewsGaryJohnson.txt,youtube,https://www.youtube.com/watch?v=iYSQH8SFHDY,2:18
"Sep 3, 2016","100,453",n,"""RANDY RAINBOW Interviews LATINOS FOR TRUMP""",interviewsLatinosForTump.txt,youtube,https://www.youtube.com/watch?v=8CtrLnBxeNY,2:36
"Aug 19, 2016","92,667",n,"""Randy Rainbow Interviews Donald Trump's Attorney #SaysWho""",interviewsTrumpsAttorney.txt,youtube,https://www.youtube.com/watch?v=JjTqyNe0C1w,2:43
"Aug 2, 2016","148,006",n,"""Randy Rainbow Interviews DONALD TRUMP: Part II""",interviewsDonaldTrumpPart2.txt,youtube,https://www.youtube.com/watch?v=q81Howk0Dto,2:37
"Jul 28, 2016","82,555",n,"""Randy Rainbow Interviews HILLARY CLINTON & TIM KAINE""",interviewsHillaryClintonTimKaine.txt,youtube,https://www.youtube.com/watch?v=u1XjA0X2uRU,3:11
"Jul 21, 2016","8,475",y,"""Ya Got Trump Trouble!""",yaGotTrumpTrouble.txt,youtube,https://www.youtube.com/watch?v=5_k1L7IHYx0,3:44
"Jun 7, 2016","148,232",y,"""SORRY, YOU'RE NOT HAMILTON""",sorryYoureNotHamilton.txt,youtube,https://www.youtube.com/watch?v=S10DtYaIg0g,3:27
