Date_str,song_parody,transcript,transcript source,vid length (min),video_id,video_type,video_link,2020-01-20,2019-11-22,video_title,2018-01-15,2018-01-29,2018-02-21,2018-03-09,2018-03-17,2018-04-20,2018-05-07,2018-06-08,2018-06-21,2018-07-16,2018-08-21,2018-08-27,2018-09-24,2018-10-15,2018-11-05,2018-12-05,2019-01-14,2019-01-28,2019-02-19,2019-03-06,2019-03-28,2019-04-02,2019-04-29,2019-05-28,2019-07-22,2019-08-29,2019-10-17,,RemovedFromYoutube
"Jan 20, 2020",y,thatDon.txt,youtube,4:37,qWbonwwFG-c,.mp4,https://www.youtube.com/watch?v=qWbonwwFG-c,"70,476",0,THAT DON! - A Randy Rainbow Song Parody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"
",
"Nov 22, 2019",y,quidproquo.txt,youtube,4:34,3mWTDI4aQZY,.mp4,https://www.youtube.com/watch?v=3mWTDI4aQZY,"808,038","167,490",He's Just a GURL Who'll QUID PRO QUO!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Oct 17, 2019",y,giuliani.txt,youtube,4:31,upBCQo5bkJc,.mp4,https://www.youtube.com/watch?v=upBCQo5bkJc,"956,784","826,907",GIULIANI! (Here He Goes Again),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"104,999",,
"Aug 29, 2019",y,cheetoChrist.txt,youtube,4:16,gW2SEpWWqXM,.mp4,https://www.youtube.com/watch?v=gW2SEpWWqXM,"1,423,253","1,338,106",CHEETO CHRIST STUPID-CZAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"102,412","1,228,948",,
"Jul 22, 2019",y,suckers.txt,youtube,4:44,wb219dz_NeA,.mkv,https://www.youtube.com/watch?v=wb219dz_NeA,"968,346","930,143",SUCKERS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"112,892","739,525","881,977",,
"May 28, 2019",y,justImpeachHim.txt,youtube,4:35,7mZYd3DrX-c,.mkv,https://www.youtube.com/watch?v=7mZYd3DrX-c,"852,722","808,740",JUST IMPEACH HIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"52,082","524,607","610,271","732,742",,
"Apr 29, 2019",y,barr.txt,youtube,4:47,etTXjK-S7RI,.webm,https://www.youtube.com/watch?v=etTXjK-S7RI,"790,955","752,697",BARR! - Randy Rainbow Song Parody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"47,683","396,347","527,227","633,653","715,017",,
"Apr 2, 2019",y,cruellaDevos.txt,youtube,4:02,Bca9d5A-Y_U,.webm,https://www.youtube.com/watch?v=Bca9d5A-Y_U,"548,330","523,040","""CRUELLA DEVOS""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"84,910","306,651","336,984","398,032","448,281","501,252",,
"Mar 28, 2019",y,muellerBlues.txt,youtube,4:46,l8dSbMZVFOg,.webm,https://www.youtube.com/watch?v=l8dSbMZVFOg,"346,012","336,640","""THE MUELLER BLUES""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"42,397","194,522","237,940","258,262","289,155","310,068","327,728",,
"Mar 6, 2019",y,hesInLove.txt,youtube,4:35,z7q0bz0sk30,.webm,https://www.youtube.com/watch?v=z7q0bz0sk30,"745,548","712,478","""HE'S IN LOVE (and we're all gonna die)""y",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"64,901","453,838","465,717","487,644","506,589","568,220","630,199","692,365",,
"Feb 19, 2019",y,borderLies.txt,youtube,4:34,EInIEuNSMrI,.mkv,https://www.youtube.com/watch?v=EInIEuNSMrI,"793,485","774,024","""BORDER LIES""",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"34,794","479,472","527,813","532,690","550,923","574,682","638,404","686,173","745,423",,
