Date_str,song_parody,transcript,transcript source,vid length (min),video_id,video_type,video_link,2020-09-13,2020-08-17,video_title,2018-01-15,2018-01-29,2018-02-21,2018-03-09,2018-03-17,2018-04-20,2018-05-07,2018-06-08,2018-06-21,2018-07-16,2018-08-21,2018-08-27,2018-09-24,2018-10-15,2018-11-05,2018-12-05,2019-01-14,2019-01-28,2019-02-19,2019-03-06,2019-03-28,2019-04-02,2019-04-29,2019-05-28,2019-07-22,2019-08-29,2019-10-17,2019-11-22,2020-01-20,2020-02-18,2020-03-03,2020-03-14,2020-03-22,2020-04-06,2020-04-25,2020-05-19,2020-06-07,2020-06-29,2020-07-06,2020-07-22,2020-08-10,,RemovedFromYoutube
"Sep 13, 2020",y,none,none,3:48,TI8RZhhoBM0,.mp4,https://www.youtube.com/watch?v=TI8RZhhoBM0,"98,777",0,I Won't Vote Trump!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Aug 17, 2020",y,none,none,3:48,0RbKStEFNT8,.mp4,https://www.youtube.com/watch?v=0RbKStEFNT8,"1,431,186","316,537",KAMALA! - A Randy Rainbow Song Parody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
"Aug 10, 2020",y,none,none,2:03,dgNdHiW5FOo,.mp4,https://www.youtube.com/watch?v=dgNdHiW5FOo,"523,215","458,718",CHRISTOPHER CUOMO! (A Special Birthday BONUS!),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"61,686",,
"Jul 22, 2020",y,none,none,3:55,lUiDLcp_hIw,.mp4,https://www.youtube.com/watch?v=lUiDLcp_hIw,"1,697,387","1,609,814","GEE, ANTHONY FAUCI! - A Randy Rainbow Song Parody",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"186,064","1,560,991",,
"Jul 6, 2020",y ,none,none,3:54,7lJondUzeKk,.mp4,https://www.youtube.com/watch?v=7lJondUzeKk,"1,160,136","1,072,802",POOR DEPLORABLE TROLL - A Randy Rainbow Song Parody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"332,106","903,926","1,042,385",,
"Jun 29, 2020",y,none,none,2:32,6kOesPt7iBY,.mp4,https://www.youtube.com/watch?v=6kOesPt7iBY,"1,705,581","1,621,322",COVER YOUR FREAKIN' FACE!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"32,995","1,238,660","1,456,777","1,591,375",,
"Jun 7, 2020",y,none,none,3:00,2VBevEYELQ0,.mp4,https://www.youtube.com/watch?v=2VBevEYELQ0,"1,755,216","1,722,702",THE BUNKER BOY - A Randy Rainbow Song Parody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"522,508","1,522,545","1,601,315","1,664,010","1,710,259",,
"May 19, 2020",y,distractions.txt,none,4:08,d02A9nmJxcM,.mp4,https://www.youtube.com/watch?v=d02A9nmJxcM,"1,329,677","1,293,384",DISTRACTION! - A Randy Rainbow Song Parody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"266,091","1,041,291","1,146,556","1,181,364","1,227,446","1,279,481",,
"Apr 25, 2020",y,none,none,3:12,DPDPzbLFeP4,.mp4,https://www.youtube.com/watch?v=DPDPzbLFeP4,"6,690,722","6,602,887",A SPOONFUL OF CLOROX - A Randy Rainbow Song Parody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"705,259","5,878,020","6,123,617","6,298,205","6,371,131","6,474,869","6,576,071",,
"Apr 6, 2020",y,none,none,3:57,2Kydr2a7Uy4,.mp4,https://www.youtube.com/watch?v=2Kydr2a7Uy4,"2,259,977","2,210,940",ANDY! - A Randy Rainbow Song Parody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,862","1,471,758","1,839,863","1,934,686","2,010,660","2,052,641","2,115,242","2,175,197",,
