Date_str,views_as_of_Jan-15-18,views_as_of_Jan-29-18,song_parody,transcript,transcript source,video_link,vid length (min),views_as_of_March-17-18,views_as_of_March-9-18,video_title,views_as_of_Feb-21-18
"Mar 16, 2018",0,0,n,devos.txt,youtube,https://www.youtube.com/watch?v=hRQNtWLCSh0,3:51,"36,811",0,"""Randy Rainbow Interviews Betsy DeVos!""",0
"Mar 5, 2018",0,0,y,kids.txt,youtube,https://www.youtube.com/watch?v=9dcTw-Jk-yE,3:50,"134,885","92,401","""KIDS! A Randy Rainbow Song Parody""",0
"Feb 12, 2018",0,0,y,none,none,https://www.youtube.com/watch?v=nGP0cuilgWE,4:20,"148,032","142,184","""STAND BY YOUR MAN (Donald Trump)","117,981"
"Jan 29, 2018",0,"23,454",y,none,none,https://www.youtube.com/watch?v=_4q8x5fR4Sw,4:28,"254,986","245,106","""ALL ABOUT HIS BASE""","218,187"
"Jan 8, 2018","114,209","151,464",y,buttons.txt,youtube,https://www.youtube.com/watch?v=kDB5b5aYef4,3:13,"182,826","179,943","""Buttons!"" ","173,509"
"Dec 11, 2017","169,613","189,562",y,sheWasSixteen.txt,youtube,https://www.youtube.com/watch?v=Y3WhDE-O6lc,4:59,"227,244","223,267","""She Was SIXTEEN GOING ON SEVENTEEN""","214,218"
"Nov 14, 2017","184,650","192,420",y,thoseWereTheGoodOldDays.txt,youtube,https://www.youtube.com/watch?v=2oW1CN8sbw0,4:40,"219,740","216,603","""THOSE WERE THE GOOD OLD DAYS""","210,471"
"Oct 31, 2017","204,466","209,199",y,none,none,https://www.youtube.com/watch?v=U8vD8ZP-eMI,3:14,"226,169","224,295","""SWEET INDICTMENT""","219,045"
"Oct 11, 2017","959,900","1,040,356",y,none,none,https://www.youtube.com/watch?v=LTosB6V_V24,4:30,"1,212,828","1,193,144","""DESPERATE CHEETO""","1,148,607"
"Sep 25, 2017","508,729","536,968",y,howDoYouSolveAProblemLikeKorea.txt,youtube,https://www.youtube.com/watch?v=580dYcYCneA,4:37,"584,524","578,818","""How Do You Solve A Problem Like Korea?""","566,442"
"Sep 6, 2017","213,831","217,359",y,dacaShame.txt,youtube,https://www.youtube.com/watch?v=q1CqNLgM5JU,3:55,"227,836","226,907","""DACA Shame""","224,179"
"Aug 21, 2017","222,062","227,591",y,yesWeHaveNoSteveBannon.txt,youtube,https://www.youtube.com/watch?v=If4eQHYKSu8,4:01,"243,126","240,884","""YES! WE HAVE NO STEVE BANNON!""","236,837"
"Jul 31, 2017","175,309","178,921",y,theSychophantItaliano.txt,youtube,https://www.youtube.com/watch?v=UO3ZIBONcr4,4:14,"191,629","189,755","""THE SYCOPHANT ITALIANO""","186,353"
"Jul 21, 2017","254,894","270,662",y,theRoomWhereItHappened.txt,youtube,https://www.youtube.com/watch?v=5h56N_uwS7c,4:51,"304,838","299,585","""THE ROOM WHERE IT HAPPENED""","290,755"
"Jul 5, 2017","425,542","435,043",y,beforeHeTweets,youtube,https://www.youtube.com/watch?v=0kiVjtH7w8w,3:45,"478,042","473,825","""BEFORE HE TWEETS""","462,848"
"Jun 16, 2017","255,080","260,901",y,russiaTies.txt,youtube,https://www.youtube.com/watch?v=EYgi5MyMqCs,4:15,"283,865","280,493","""RUSSIA TIES""","273,719"
"Jun 2, 2017","523,125","534,567",y,none,none,https://www.youtube.com/watch?v=1UW2ZndKqcg,4:19,"569,680","565,773","""COVFEFE: THE BROADWAY MEDLEY!""","556,248"
"May 30, 2017","151,719","152,985",y,none,none,https://www.youtube.com/watch?v=XQmFeX_Srhs,3:46,"157,798","157,247","""Donald Trump's MANGO TOUR!""","155,765"
"May 15, 2017","207,970","210,420",y,none,none,https://www.youtube.com/watch?v=V2OuJYaz_oE,4:23,"219,628","218,148","""THE RUSSIAN CONNECTION""","215,341"
"May 1, 2017","382,746","390,150",y,unpopular.txt,youtube,https://www.youtube.com/watch?v=TPg0BWvhMkA,4:33,"413,328","409,976","""UNPOPULAR!""","403,774"
"Apr 21, 2017","123,408","125,675",y,justMyBill.txt,youtube,https://www.youtube.com/watch?v=_H48C_xf8HE,3:11,"132,800","131,990","""JUST MY BILL (O'Reilly)""","130,112"
"Apr 6, 2017","212,721","220,275",n,randyRainbowInterviewsIvankaTrump.txt,youtube,https://www.youtube.com/watch?v=LPQYAT3wH_g,3:18,"249,893","241,381","""Randy Rainbow Interviews Ivanka Trump""","233,385"
"Mar 19, 2017","101,007","102,292",y,killTheRelease.txt,youtube,https://www.youtube.com/watch?v=ji5nOTjlVuA,2:30,"107,349","106,761","""KILL THE RELEASE!""","105,325"
"Mar 15, 2017","280,154","284,506",y,microwaves.txt,youtube,https://www.youtube.com/watch?v=Ub5GkBtIjhc,3:40,"297,628","295,737","""MICROWAVES (Are Watching You!)""","292,029"
"Mar 6, 2017","293,417","297,996",y,putinAndTheRitz.txt,youtube,https://www.youtube.com/watch?v=dReOdQmt-Qk,3:14,"314,438","311,869","""PUTIN AND THE RITZ""","306,990"
"Feb 22, 2017","330,348","341,614",y,yourMakingThingsUpAgain.txt,youtube,https://www.youtube.com/watch?v=yf0CKA0zN0g,3:52,"377,127","371,889","""You're Making Things Up Again, Donald!""","362,611"
"Feb 6, 2017","438,284","439,903",y,factChecker.txt,youtube,https://www.youtube.com/watch?v=NLaYDmJYE8k,3:39,"447,650","446,727","""FACT-CHECKER, FACT-CHECKER""","444,511"
"Jan 24, 2017","617,119","619,749",y,alternativeFacts.txt,youtube,https://www.youtube.com/watch?v=OdV_8TGswRA,3:35,"629,242","627,872","""ALTERNATIVE FACTS""","625,004"
"Jan 17, 2017","76,385","76,836",y,randyRainbowInterviewsJenniferHolliday.txt,youtube,https://www.youtube.com/watch?v=IMBwyVGUFls,2:58,"78,244","78,000","""Randy Rainbow Interviews Jennifer Holliday""","77,562"
"Jan 11, 2017","258,528","259,456",y,tweetsTweetsNothingButTweets.txt,youtube,https://www.youtube.com/watch?v=qEVtRrcg3dg,3:11,"263,629","263,101","""TWEETS, TWEETS & NOTHING BUT TWEETS""","261,830"
"Jan 9, 2017","239,524","244,618",n,exitInterviewsBarackObama.txt,youtube,https://www.youtube.com/watch?v=NEel6Ng2e-0,4:02,"259,211","256,143","""Randy Rainbow Exit-Interviews Barack Obama""","252,465"
"Dec 14, 2016","164,050","165,317",n,interviewsDonaldTrumpPart3.txt,youtube,https://www.youtube.com/watch?v=5e3FuzTPFT0,4:10,"169,674","169,071","""Randy Rainbow Interviews Donald Trump: PART THREE""","167,871"
"Nov 22, 2016","246,664","248,609",y,donaldTrumpGrowUp.txt,youtube,https://www.youtube.com/watch?v=5Gxp6gzKvXk,4:18,"261,507","260,226","""Donald Trump, Grow Up! - Randy Rainbow HAMILTON Song Parody""","256,726"
"Nov 16, 2016","205,302","209,292",n,interviewsNewFirstFamily.txt,youtube,https://www.youtube.com/watch?v=o5harjyjggI,3:59,"222,948","220,183","""Randy Rainbow Interviews the New First Family!""","216,402"
"Nov 10, 2016","79,248","79,861",y,none,none,https://www.youtube.com/watch?v=uc87elr2Ohs,2:55,"82,217","81,871","""HILLARY WINS!?!? - RANDY RAINBOW'S AMERICAN DREAM (Musical)""","81,149"
"Nov 6, 2016","98,698","99,574",y,none,none,https://www.youtube.com/watch?v=G19s4OmvFw8,2:51,"103,002","102,600","""TRUMP-PENCE, TRUMP-PENCE""","101,597"
