Date_str,views_as_of_Jan-15-18,views_as_of_Jan-29-18,song_parody,transcript,transcript source,vid length (min),video_link,views_as_of_June-08-18,views_as_of_May-07-18,video_title,views_as_of_Feb-21-18,views_as_of_March-9-18,views_as_of_April-20-18,views_as_of_March-17-18
"Jun 8, 2018",0,0,y,commanderOfCheese.txt,youtube,4:14,https://www.youtube.com/watch?v=XFZU1XLwZGg,"13,693",0,"""COMMANDER OF CHEESE!""",0,0,0,0
"May 7, 2018",0,0,y,rudyAndTheBeast.txt,youtube,4:43,https://www.youtube.com/watch?v=rLtEaZtz1E4,"228,008","7,023","""RUDY and the BEAST""",0,0,0,0
"Apr 9, 2018",0,0,y,none,none,5:01,https://www.youtube.com/watch?v=EBZbwdCHorQ,"198,826","155,126","""YOU CAN'T STOP HIS TWEETS!""",0,0,"126,308",0
"Mar 16, 2018",0,0,n,devos.txt,youtube,3:51,https://www.youtube.com/watch?v=hRQNtWLCSh0,"159,379","146,172","""Randy Rainbow Interviews Betsy DeVos!""",0,0,"140,000","36,811"
"Mar 5, 2018",0,0,y,kids.txt,youtube,3:50,https://www.youtube.com/watch?v=9dcTw-Jk-yE,"213,607","201,408","""KIDS! A Randy Rainbow Song Parody""",0,"92,401","194,300","134,885"
"Feb 12, 2018",0,0,y,none,none,4:20,https://www.youtube.com/watch?v=nGP0cuilgWE,"168,989","163,361","""STAND BY YOUR MAN (Donald Trump)","117,981","142,184","160,541","148,032"
"Jan 29, 2018",0,"23,454",y,none,none,4:28,https://www.youtube.com/watch?v=_4q8x5fR4Sw,"315,559","295,861","""ALL ABOUT HIS BASE""","218,187","245,106","286,047","254,986"
"Jan 8, 2018","114,209","151,464",y,buttons.txt,youtube,3:13,https://www.youtube.com/watch?v=kDB5b5aYef4,"203,693","195,185","""Buttons!"" ","173,509","179,943","191,689","182,826"
"Dec 11, 2017","169,613","189,562",y,sheWasSixteen.txt,youtube,4:59,https://www.youtube.com/watch?v=Y3WhDE-O6lc,"261,212","245,337","""She Was SIXTEEN GOING ON SEVENTEEN""","214,218","223,267","240,566","227,244"
"Nov 14, 2017","184,650","192,420",y,thoseWereTheGoodOldDays.txt,youtube,4:40,https://www.youtube.com/watch?v=2oW1CN8sbw0,"241,474","233,538","""THOSE WERE THE GOOD OLD DAYS""","210,471","216,603","230,216","219,740"
"Oct 31, 2017","204,466","209,199",y,none,none,3:14,https://www.youtube.com/watch?v=U8vD8ZP-eMI,"239,778","234,797","""SWEET INDICTMENT""","219,045","224,295","232,588","226,169"
